x_fraction,mean_eneg,mean_radius,max_oxid,formation_energy_per_atom
0.3333,1.63,1.35,5.0,
0.3333,1.63,1.35,5.0,
0.3333,1.63,1.35,5.0,
0.3333,1.63,1.35,5.0,
0.3333,1.63,1.35,5.0,
0.3333,1.63,1.35,5.0,
0.3333,1.63,1.35,5.0,
0.3333,1.63,1.35,5.0,
0.3333,1.63,1.35,5.0,
0.3333,1.63,1.35,5.0,
0.3333,1.63,1.35,5.0,
0.3333,1.63,1.35,5.0,
0.3333,1.63,1.35,5.0,
0.3333,1.63,1.35,5.0,
0.3333,1.63,1.35,5.0,
0.3333,1.63,1.35,5.0,
0.3333,1.63,1.35,5.0,
0.3333,1.63,1.35,5.0,
0.3333,1.63,1.35,5.0,
0.3333,1.63,1.35,5.0,
0.3333,1.63,1.35,5.0,
0.3333,1.63,1.35,5.0,
0.3333,1.63,1.35,5.0,
0.3333,1.63,1.35,5.0,
0.3333,1.63,1.35,5.0,
0.3333,1.63,1.35,5.0,
0.3333,1.63,1.35,5.0,
0.3333,1.63,1.35,5.0,
0.3333,1.63,1.35,5.0,
0.3333,1.63,1.35,5.0,
0.3333,1.63,1.35,5.0,
0.3333,1.63,1.35,5.0,
0.3333,1.63,1.35,5.0,
0.3333,1.63,1.35,5.0,
0.3333,1.63,1.35,5.0,
0.25,1.63,1.35,5.0,
0.25,1.63,1.35,5.0,
0.25,1.63,1.35,5.0,
0.25,1.63,1.35,5.0,
0.2836,1.66,1.4,6.0,
0.2836,1.66,1.4,6.0,
0.6667,1.66,1.4,6.0,
0.4,1.66,1.4,6.0,
0.4,1.66,1.4,6.0,
0.4,1.66,1.4,6.0,
0.4,1.66,1.4,6.0,
0.4,1.66,1.4,6.0,
0.4,1.66,1.4,6.0,
0.4,1.66,1.4,6.0,
0.4,1.66,1.4,6.0,
0.4,1.66,1.4,6.0,
0.4,1.66,1.4,6.0,
0.4,1.66,1.4,6.0,
0.4,1.66,1.4,6.0,
0.4,1.66,1.4,6.0,
0.4,1.66,1.4,6.0,
0.2857,1.66,1.4,6.0,
0.2857,1.66,1.4,6.0,
0.2857,1.66,1.4,6.0,
0.2857,1.66,1.4,6.0,
0.75,1.66,1.4,6.0,
0.75,1.66,1.4,6.0,
0.4286,1.66,1.4,6.0,
0.4286,1.66,1.4,6.0,
0.375,1.66,1.4,6.0,
0.3,1.66,1.4,6.0,
0.2727,1.66,1.4,6.0,
0.2727,1.66,1.4,6.0,
0.2727,1.66,1.4,6.0,
0.2727,1.66,1.4,6.0,
0.2727,1.66,1.4,6.0,
0.2727,1.66,1.4,6.0,
0.2105,1.66,1.4,6.0,
0.3077,1.66,1.4,6.0,
0.2941,1.66,1.4,6.0,
0.2941,1.66,1.4,6.0,
0.4167,1.66,1.4,6.0,
0.3529,1.66,1.4,6.0,
0.2759,1.66,1.4,6.0,
0.2759,1.66,1.4,6.0,
0.2759,1.66,1.4,6.0,
0.2759,1.66,1.4,6.0,
0.4091,1.66,1.4,6.0,
0.5,1.66,1.4,6.0,
