battery_id,framework_formula,primary_tm,formula_discharge,tm_eneg,tm_ionic_radius,tm_max_oxidation_state,anion_eneg,li_per_fu,spacegroup_number,crystal_system,volume_per_atom,density,polyanion_eneg,structure_prototype,tm_oxidation_discharge,average_voltage,max_delta_volume
mp-771142_Na,MnBSO7,Mn,Na3MnBSO7,1.55,1.4,7.0,3.44,0.0,11,2,16.9138,2.0598,2.04,0,3.0,2.614882,0.003142
mp-754649_Na,MnCSO7,Mn,Na2MnCSO7,1.55,1.4,7.0,3.44,0.0,11,2,13.9056,2.5198,2.58,0,4.0,4.100875,0.212925
mp-560242_Na,MnF3,Mn,NaMnF3,1.55,1.4,7.0,3.98,0.0,62,3,14.0098,3.3168,0.0,1,2.0,3.787769,0.189081
mp-772662_Na,MnH4(SO5)2,Mn,Na2MnH4(SO5)2,1.55,1.4,7.0,3.44,0.0,14,2,11.1084,2.4893,2.58,0,4.0,4.239598,0.133276
mp-774174_Na,MnO2,Mn,NaMn2O4,1.55,1.4,7.0,3.44,0.0,63,3,10.9238,4.4051,0.0,0,3.0,3.644338,0.120001
mp-584094_Na,MnP2O7,Mn,NaMnP2O7,1.55,1.4,7.0,3.44,0.0,2,1,12.5176,3.0363,2.19,0,4.0,4.993953,0.0502
mp-768085_Na,MnPCO7,Mn,Na2MnPCO7,1.55,1.4,7.0,3.44,0.0,1,1,14.8929,2.3406,2.19,0,3.0,3.877459,0.051846
mp-768444_Na,MnPO4,Mn,Na2Mn3(PO4)3,1.55,1.4,7.0,3.44,0.0,15,2,12.1253,3.4217,2.19,4,3.0,3.672977,0.078331
mp-556404_Na,MnPO4F,Mn,Na2MnPO4F,1.55,1.4,7.0,3.98,0.0,14,2,12.5005,3.2053,2.19,0,2.0,3.864973,0.286562
mp-770912_Na,MnSiCO7,Mn,Na3MnSiCO7,1.55,1.4,7.0,3.44,0.0,11,2,15.2203,2.2587,1.9,0,4.0,3.170831,0.035664
mp-26600_Na,Mo(PO4)2,Mo,NaMo(PO4)2,2.16,1.45,6.0,3.44,0.0,19,3,15.0568,2.8662,2.19,0,6.0,4.090157,0.022896
mp-31257_Na,Mo15S19,Mo,Na17(Mo15S19)4,2.16,1.45,6.0,2.58,0.0,176,6,21.1307,4.7343,2.58,0,3.2495,1.69232,0.077575
mp-568488_Na,Mo15Se19,Mo,Na2Mo15Se19,2.16,1.45,6.0,2.55,0.0,167,5,23.639,6.0728,0.0,5,3.2495,1.70524,0.005567
mp-26048_Na,Mo2(PO4)3,Mo,NaMo2(PO4)3,2.16,1.45,6.0,3.44,0.0,5,2,14.6243,3.1846,2.19,0,3.2495,3.008922,0.016526
mp-1013843_Na,Mo2P2O9,Mo,NaMo2P2O9,2.16,1.45,6.0,3.44,0.0,62,3,14.5619,3.4896,2.19,1,3.5,3.610832,0.026038
mp-26194_Na,Mo2P3O13,Mo,NaMo2P3O13,2.16,1.45,6.0,3.44,0.0,14,2,14.3446,3.1692,2.19,0,5.5,3.911186,0.010296
mp-1012678_Na,Mo3P3O13,Mo,NaMo3P3O13,2.16,1.45,6.0,3.44,0.0,11,2,14.4669,3.5566,2.19,0,3.5,3.711699,0.000887
mp-25359_Na,Mo3P3O16,Mo,NaMo3P3O16,2.16,1.45,6.0,3.44,0.0,2,1,14.2937,3.3623,2.19,0,5.5,4.0992,0.008133
