tm_eneg,tm_ionic_radius,tm_max_oxidation_state,anion_eneg,li_per_fu,spacegroup_number,crystal_system,volume_per_atom,density,neg_avg_voltage,max_delta_volume
1.728,1.4,4.8,3.44,2.0,60,3,15.147,2.9643,-3.247687,0.018875
1.76,1.38,4.4,3.44,3.0,14,2,14.2039,3.2003,,
1.66,1.4,6.0,3.44,3.0,1,1,12.9655,2.984,,
1.715,1.3875,5.25,3.44,4.0,6,2,11.3789,3.6167,,
1.715,1.3875,5.25,3.44,7.0,146,5,13.3186,2.8777,-4.286054,0.044162
1.77,1.375,4.5,3.44,4.0,1,1,11.1116,5.1825,,
1.77,1.375,4.5,3.44,4.0,8,2,11.1503,5.237,,
1.7975,1.3687,4.125,3.44,4.0,8,2,10.2409,4.7742,,
1.715,1.3875,5.25,3.44,4.0,1,1,12.1477,3.9063,,
1.66,1.4,6.0,3.44,4.0,6,2,11.4677,3.6165,,
1.66,1.4,6.0,3.44,4.0,166,5,12.0435,3.9931,,
1.7025,1.4,5.25,3.44,7.0,146,5,13.742,2.778,,
1.728,1.4,4.8,3.44,4.0,8,2,12.1563,5.0596,,
1.745,1.4,4.5,3.44,4.0,8,2,12.0522,4.7919,,
1.7025,1.4,5.25,3.44,4.0,1,1,12.4678,3.7717,,
1.66,1.4,6.0,3.44,4.0,1,1,12.3019,3.9787,,
1.7225,1.3875,5.0,3.44,4.0,6,2,11.4212,3.6018,,
1.7225,1.3875,5.0,3.44,6.0,146,5,13.6283,2.8114,,
1.7225,1.3875,5.0,3.44,2.0,146,5,13.0274,2.9657,,
1.7225,1.3875,5.0,3.44,4.0,10,2,12.0569,3.9329,,
1.66,1.4,6.0,3.44,1.0,11,2,12.7178,3.1398,,
1.66,1.4,6.0,3.44,4.0,33,3,13.541,2.8978,,
1.66,1.4,6.0,3.44,6.0,146,5,13.7579,3.2292,,
1.66,1.4,6.0,3.44,9.0,1,1,14.6217,2.4637,,
1.66,1.4,6.0,3.44,2.0,9,2,11.8497,4.7382,,
1.66,1.4,6.0,3.44,4.0,1,1,12.8863,5.4316,,
1.66,1.4,6.0,3.44,2.0,186,6,11.8465,4.8077,,
1.66,1.4,6.0,3.44,2.0,186,6,11.8955,5.4421,-3.537952,0.039436
1.66,1.4,6.0,3.44,1.0,62,3,12.706,3.3903,,
1.66,1.4,6.0,3.44,1.0,2,1,12.641,3.0355,,
1.66,1.4,6.0,3.44,2.0,2,1,12.9077,3.3354,,
1.66,1.4,6.0,3.44,2.0,60,3,15.0055,2.9421,,
1.66,1.4,6.0,3.44,2.0,4,2,14.7485,2.8252,,
1.66,1.4,6.0,3.44,1.0,60,3,12.2182,1.966,,
1.77,1.375,4.5,3.44,2.0,11,2,11.4929,3.6226,,
1.825,1.3625,3.75,3.44,4.0,6,2,11.4898,3.6653,,
1.825,1.3625,3.75,3.44,2.0,166,5,11.0789,4.4564,,
1.8433,1.3583,3.5,3.44,4.0,12,2,11.4207,4.351,,
1.77,1.375,4.5,3.44,4.0,2,1,11.9513,4.0508,,
1.745,1.4,4.5,3.44,2.0,11,2,11.745,3.5084,,
1.7875,1.4,3.75,3.44,7.0,1,1,13.6647,2.8213,,
1.7875,1.4,3.75,3.44,4.0,146,5,12.5094,3.3792,,
1.7875,1.4,3.75,3.44,4.0,166,5,12.6199,3.8107,,
1.745,1.4,4.5,3.44,2.0,2,1,12.5078,3.8022,,
1.785,1.375,4.0,3.44,2.0,11,2,11.5537,3.6007,,
1.8475,1.3625,3.0,3.44,4.0,6,2,11.383,3.6954,,
1.8475,1.3625,3.0,3.44,4.0,12,2,11.753,4.1924,,
1.8683,1.3583,2.6667,3.44,4.0,146,5,12.2122,3.4571,,
1.785,1.375,4.0,3.44,2.0,74,3,11.7781,4.1047,,
1.66,1.4,6.0,3.44,1.0,227,7,12.2294,3.8017,,
1.66,1.4,6.0,3.44,4.0,2,1,18.568,2.0747,,
1.66,1.4,6.0,3.98,5.0,143,5,14.9354,2.3941,-4.518893,0.028516
1.66,1.4,6.0,3.44,1.0,14,2,11.8529,3.1653,,
1.66,1.4,6.0,3.44,4.0,1,1,14.7093,2.4266,,
1.66,1.4,6.0,3.44,5.0,1,1,13.4324,2.5587,,
1.66,1.4,6.0,3.44,1.0,2,1,10.7433,3.1681,,
1.66,1.4,6.0,3.44,1.0,1,1,13.9424,2.9173,,
1.66,1.4,6.0,3.98,1.0,33,3,14.8488,2.6514,,
1.66,1.4,6.0,3.44,2.0,14,2,12.6869,3.0472,,
1.66,1.4,6.0,3.44,3.0,143,5,13.9528,2.6202,,
1.66,1.4,6.0,3.44,4.0,1,1,12.6697,6.0557,,
1.66,1.4,6.0,3.44,2.0,8,2,13.7174,5.0212,,
1.55,1.4,7.0,3.44,1.0,36,3,22.9648,3.9743,-3.164047,0.026894
1.55,1.4,7.0,3.44,1.0,5,2,15.2082,3.0147,-2.612494,0.080135
1.91,1.35,2.0,3.44,5.0,4,2,11.2803,4.7459,,
1.91,1.35,2.0,3.44,4.0,2,1,11.6428,4.3693,,
1.83,1.4,3.0,3.44,3.0,14,2,13.1441,2.4349,,
1.83,1.4,3.0,3.44,2.0,1,1,14.1887,2.2869,,
1.83,1.4,3.0,3.44,5.0,1,1,13.7224,2.1061,,
1.8633,1.3667,3.0,3.44,3.0,12,2,11.5877,4.2944,,
1.83,1.4,3.0,3.44,3.0,12,2,12.254,4.1998,,
1.83,1.4,3.0,3.44,1.0,2,1,13.6006,2.7495,-4.379253,0.010718
1.83,1.4,3.0,3.44,1.0,4,2,15.5836,2.33,,
1.83,1.4,3.0,3.44,3.0,2,1,13.2611,2.7979,,
1.83,1.4,3.0,3.44,1.0,146,5,14.0965,2.6555,,
1.83,1.4,3.0,3.44,3.0,1,1,12.5551,5.7174,,
1.83,1.4,3.0,3.44,1.0,30,3,14.9822,3.9286,,
1.83,1.4,3.0,3.44,1.0,122,4,16.8992,3.382,-5.054419,0.017864
1.83,1.4,3.0,3.44,3.0,64,3,14.185,2.4708,,
1.83,1.4,3.0,3.44,1.0,61,3,14.3917,2.6668,,
1.83,1.4,3.0,3.44,3.0,14,2,14.1875,3.6383,,
1.83,1.4,3.0,3.44,2.0,146,5,12.3941,2.7917,,
2.028,1.43,4.8,3.44,2.0,60,3,17.5169,3.2984,,
1.83,1.4,3.0,3.44,3.0,12,2,12.1678,3.1838,,
1.83,1.4,3.0,3.44,1.0,148,5,13.4487,2.9043,,
1.83,1.4,3.0,3.44,2.0,14,2,13.0849,2.8577,,
1.83,1.4,3.0,3.44,6.0,70,3,13.3967,2.4132,-3.488504,0.035721
1.86,1.37,3.0,3.44,5.0,6,2,11.4415,4.3393,,
1.86,1.37,3.0,3.44,4.0,8,2,11.5692,5.4408,,
1.8467,1.3833,3.0,3.44,3.0,12,2,11.8888,4.1377,,
1.83,1.4,3.0,3.44,5.0,2,1,12.5709,4.0713,,
1.8567,1.3833,2.6667,3.44,2.0,167,5,12.3233,3.4084,,
1.878,1.37,2.4,3.44,5.0,1,1,11.7139,4.2316,,
1.8871,1.3643,2.2857,3.44,5.0,4,2,11.3076,4.6154,,
1.8567,1.3833,2.6667,3.44,3.0,12,2,11.7083,4.1977,,
1.83,1.4,3.0,3.98,1.0,15,2,12.2788,3.8771,,
1.83,1.4,3.0,3.98,1.0,62,3,13.1131,3.8978,,
1.83,1.4,3.0,3.44,4.0,1,1,11.8585,2.7703,,
1.83,1.4,3.0,3.44,2.0,14,2,14.8746,2.8402,,
1.83,1.4,3.0,3.44,4.0,1,1,14.6036,2.6982,,
1.83,1.4,3.0,3.44,5.0,7,2,12.3646,2.8469,,
1.862,1.38,2.6,3.44,5.0,1,1,12.0041,4.103,,
1.83,1.4,3.0,3.98,4.0,1,1,14.3845,3.2903,,
1.83,1.4,3.0,3.44,2.0,2,1,12.4784,3.2661,,
1.83,1.4,3.0,3.44,1.0,20,3,14.749,2.6142,,
1.83,1.4,3.0,3.44,3.0,1,1,13.6053,2.9049,-5.296847,0.008416
1.83,1.4,3.0,3.44,2.0,1,1,15.2012,2.9553,,
1.83,1.4,3.0,3.44,5.0,2,1,13.8989,4.4997,,
1.8425,1.3875,3.0,3.44,4.0,6,2,11.8553,3.5388,,
1.8425,1.3875,3.0,3.44,7.0,1,1,13.4106,2.9,,
