battery_id,framework_formula,primary_tm,formula_discharge,tm_eneg,tm_ionic_radius,tm_max_oxidation_state,anion_eneg,li_per_fu,spacegroup_number,crystal_system,volume_per_atom,density,polyanion_eneg,structure_prototype,tm_oxidation_discharge,average_voltage,max_delta_volume
mp-758623_Li,FeNi9O20,Ni,Li10FeNi9O20,1.902,1.355,2.1,3.44,10.0,2,1,11.3988,4.3901,0.0,0,3.3333,3.795285,0.02283
mp-753174_Li,FeNiO4,Fe,Li3Fe2(NiO4)2,1.87,1.375,2.5,3.44,3.0,74,3,11.8313,4.1763,0.0,0,3.5,3.49284,0.024997
mp-25386_Li,FeO2,Fe,LiFeO2,1.83,1.4,3.0,3.44,1.0,74,3,12.295,3.9547,0.0,0,3.1586,4.281442,0.022473
mp-752521_Li,FeO3,Fe,Li2FeO3,1.83,1.4,3.0,3.44,2.0,8,2,13.2026,3.2652,0.0,0,3.1586,4.099812,0.02008
mp-19511_Li,FeO4,Fe,Li5FeO4,1.83,1.4,3.0,3.44,5.0,7,2,19.9413,1.9959,0.0,0,3.0,3.743563,0.007487
mp-759661_Li,FeO5F,Fe,Li8FeO5F,1.83,1.4,3.0,3.98,8.0,1,1,20.4561,1.7956,0.0,0,4.0,3.291827,0.049603
mp-752830_Li,FeOF3,Fe,Li3FeOF3,1.83,1.4,3.0,3.98,3.0,12,2,15.1558,2.8233,0.0,4,3.0,2.668539,0.008495
mp-754295_Li,FeOF4,Fe,Li4FeOF4,1.83,1.4,3.0,3.98,4.0,8,2,15.6634,2.6122,0.0,0,3.0,2.750019,0.014602
mp-775155_Li,FeOF5,Fe,Li5FeOF5,1.83,1.4,3.0,3.98,5.0,144,5,15.8136,2.5027,0.0,0,3.0,2.826266,0.002572
mp-758760_Li,FeP2HO8,Fe,Li2FeP2HO8,1.83,1.4,3.0,3.44,2.0,4,2,12.1373,2.8137,2.19,0,3.1586,5.147195,0.002152
mp-757908_Li,FeP2O7,Fe,LiFeP2O7,1.83,1.4,3.0,3.44,1.0,14,2,13.985,2.7284,2.19,0,3.0,5.292931,0.099326
mp-26901_Li,FeP2O9,Fe,Li4FeP2O9,1.83,1.4,3.0,3.44,4.0,1,1,14.6828,2.4672,2.19,0,4.0,4.625163,0.012176
mp-768471_Li,FePCO7,Fe,Li2FePCO7,1.83,1.4,3.0,3.44,2.0,1,1,14.0059,2.4996,2.19,0,3.0,4.735408,0.035564
mp-705884_Li,FePHO5,Fe,Li2FePHO5,1.83,1.4,3.0,3.44,2.0,2,1,11.2574,3.0944,2.19,0,3.0,3.740409,0.105628
mp-26611_Li,FePO4,Fe,LiFePO4,1.83,1.4,3.0,3.44,1.0,159,5,12.7001,3.2865,2.19,0,2.0,3.847419,0.022464
